"ENSP","cluster_membership","cluster_size","n.mut.all","n.rare.funcl","n.comm.funcl","n.rare.nonfuncl","n.comm.nonfuncl"
"ENSP00000297347",1,111,36,20,2,14,0
"ENSP00000297347",2,49,15,10,0,4,1
"ENSP00000297347",3,18,9,6,0,3,0
"ENSP00000297350",1,207,80,54,2,21,3
"ENSP00000297350",2,152,55,36,0,18,1
"ENSP00000297350",3,42,14,9,1,4,0
"ENSP00000297354",1,63,41,33,0,7,1
"ENSP00000297354",2,57,24,13,1,10,0
"ENSP00000297354",3,37,19,10,0,9,0
"ENSP00000297354",4,35,17,11,0,5,1
"ENSP00000297354",5,35,11,6,1,4,0
"ENSP00000297354",6,23,11,6,1,4,0
"ENSP00000297354",7,14,1,1,0,0,0
"ENSP00000297404",1,182,51,17,0,33,1
"ENSP00000297404",2,178,27,8,0,18,1
"ENSP00000297404",3,70,23,10,0,13,0
"ENSP00000297404",4,70,14,8,0,6,0
"ENSP00000297431",1,118,60,38,1,21,0
"ENSP00000297431",2,102,34,22,0,11,1
"ENSP00000297431",3,85,41,24,0,17,0
"ENSP00000297431",4,73,25,12,0,13,0
"ENSP00000297431",5,57,25,14,1,10,0
"ENSP00000297435",1,58,36,29,2,5,0
"ENSP00000297435",2,39,27,19,0,7,1
"ENSP00000297436",1,64,44,30,4,9,1
"ENSP00000297436",2,19,11,5,0,6,0
"ENSP00000297436",3,17,6,4,0,2,0
"ENSP00000297439",1,29,23,20,1,2,0
"ENSP00000297439",2,25,16,13,0,3,0
"ENSP00000297439",3,14,12,7,1,3,1
"ENSP00000297440",1,709,350,216,6,125,3
"ENSP00000297440",2,146,4,2,0,1,1
"ENSP00000297468",1,195,116,65,4,41,6
"ENSP00000297468",2,104,55,34,2,16,3
"ENSP00000297468",3,34,15,10,1,4,0
"ENSP00000297469",1,96,47,24,0,23,0
"ENSP00000297469",2,64,35,21,0,14,0
"ENSP00000297469",3,55,17,8,0,9,0
"ENSP00000297469",4,48,32,19,0,11,2
"ENSP00000297469",5,44,20,10,1,8,1
"ENSP00000297469",6,40,21,13,1,7,0
"ENSP00000297469",7,28,16,6,2,6,2
"ENSP00000297477",1,321,170,108,4,53,5
"ENSP00000297477",2,92,62,31,3,27,1
"ENSP00000297512",1,141,85,53,3,28,1
"ENSP00000297512",2,133,69,48,1,16,4
"ENSP00000297512",3,112,51,34,0,17,0
"ENSP00000297512",4,103,46,34,0,12,0
"ENSP00000297512",5,60,35,23,0,11,1
"ENSP00000297564",1,15,8,7,0,1,0
"ENSP00000297564",2,13,7,6,0,1,0
"ENSP00000297564",3,13,9,7,0,2,0
"ENSP00000297564",4,11,3,2,0,1,0
"ENSP00000297564",5,8,3,3,0,0,0
"ENSP00000297564",6,8,5,3,0,1,1
"ENSP00000297564",7,7,2,1,0,0,1
"ENSP00000297578",1,98,33,21,1,11,0
"ENSP00000297578",2,55,19,16,0,3,0
"ENSP00000297578",3,48,23,16,0,7,0
"ENSP00000297578",4,38,17,11,0,6,0
"ENSP00000297578",5,29,9,5,1,3,0
"ENSP00000297578",6,25,10,5,1,4,0
"ENSP00000297578",7,22,7,4,0,3,0
"ENSP00000297613",1,30,11,5,0,6,0
"ENSP00000297613",2,29,10,7,0,3,0
"ENSP00000297613",3,24,10,8,0,2,0
"ENSP00000297613",4,24,11,9,0,2,0
"ENSP00000297613",5,19,7,7,0,0,0
"ENSP00000297613",6,14,4,3,0,1,0
"ENSP00000297613",7,13,8,7,0,1,0
"ENSP00000297613",8,10,4,2,0,2,0
"ENSP00000297625",1,155,79,52,2,25,0
"ENSP00000297625",2,119,51,33,1,15,2
"ENSP00000297625",3,116,56,34,1,20,1
"ENSP00000297625",4,98,34,21,0,13,0
"ENSP00000297625",5,79,46,27,0,18,1
"ENSP00000297625",6,70,31,17,0,14,0
"ENSP00000297625",7,43,24,19,0,5,0
"ENSP00000297679",1,78,28,18,2,7,1
"ENSP00000297679",2,64,34,25,0,9,0
"ENSP00000297679",3,55,25,12,1,12,0
"ENSP00000297679",4,40,24,13,1,9,1
"ENSP00000297679",5,34,12,7,0,4,1
"ENSP00000297679",6,30,10,8,0,2,0
"ENSP00000297679",7,25,13,9,0,3,1
"ENSP00000297679",8,24,15,12,0,3,0
"ENSP00000297679",9,19,7,3,0,4,0
"ENSP00000297737",1,35,10,7,0,3,0
"ENSP00000297737",2,30,7,2,0,4,1
"ENSP00000297737",3,27,12,6,0,6,0
"ENSP00000297737",4,26,5,4,0,1,0
"ENSP00000297737",5,25,9,5,0,4,0
"ENSP00000297737",6,25,6,4,0,2,0
"ENSP00000297737",7,19,5,3,0,2,0
"ENSP00000297737",8,15,5,2,1,2,0
"ENSP00000297737",9,14,6,3,0,3,0
"ENSP00000297737",10,13,2,1,0,1,0
"ENSP00000297767",1,161,69,45,2,18,4
"ENSP00000297767",2,37,15,5,1,8,1
"ENSP00000297767",3,37,13,8,1,4,0
"ENSP00000297770",1,133,53,40,1,12,0
"ENSP00000297770",2,57,20,15,1,4,0
"ENSP00000297770",3,47,24,12,0,12,0
"ENSP00000297770",4,41,20,11,0,8,1
"ENSP00000297770",5,38,15,13,1,1,0
"ENSP00000297770",6,36,17,11,1,5,0
"ENSP00000297770",7,33,14,11,0,3,0
"ENSP00000297770",8,27,11,10,0,1,0
"ENSP00000297770",9,25,11,9,1,1,0
"ENSP00000297873",1,44,21,15,2,4,0
"ENSP00000297873",2,39,17,7,3,7,0
"ENSP00000297873",3,35,14,7,1,5,1
"ENSP00000297873",4,34,14,8,1,5,0
"ENSP00000297873",5,26,13,7,1,5,0
"ENSP00000297873",6,25,15,10,0,4,1
"ENSP00000297873",7,22,9,6,1,2,0
"ENSP00000297873",8,20,9,7,0,2,0
"ENSP00000297913",1,284,117,78,6,29,4
"ENSP00000297913",2,30,10,5,1,3,1
"ENSP00000297988",1,281,119,72,8,31,8
"ENSP00000297988",2,31,12,7,0,5,0
"ENSP00000297988",3,30,14,12,0,2,0
"ENSP00000297991",1,109,33,19,0,11,3
"ENSP00000297991",2,61,24,16,0,8,0
"ENSP00000297991",3,51,23,13,0,10,0
"ENSP00000297991",4,31,15,8,0,7,0
"ENSP00000297991",5,21,5,5,0,0,0
"ENSP00000297991",6,19,9,7,0,2,0
"ENSP00000297994",1,106,47,29,2,15,1
"ENSP00000297994",2,85,31,20,0,10,1
"ENSP00000297994",3,69,26,15,1,10,0
"ENSP00000297994",4,56,25,14,1,9,1
"ENSP00000298050",1,113,35,22,0,12,1
"ENSP00000298050",2,64,26,19,0,7,0
"ENSP00000298050",3,58,20,12,0,8,0
"ENSP00000298050",4,57,17,11,1,5,0
"ENSP00000298050",5,57,14,10,1,3,0
"ENSP00000298050",6,47,15,8,1,5,1
"ENSP00000298050",7,40,22,14,3,5,0
"ENSP00000298050",8,39,17,8,0,9,0
"ENSP00000298050",9,35,8,6,0,2,0
"ENSP00000298050",10,28,13,8,0,5,0
"ENSP00000298050",11,23,7,2,0,5,0
"ENSP00000298050",12,22,11,8,0,3,0
"ENSP00000298050",13,21,11,7,1,3,0
"ENSP00000298097",1,482,179,114,1,62,2
"ENSP00000298097",2,73,17,7,1,7,2
"ENSP00000298125",1,51,15,6,1,7,1
"ENSP00000298125",2,45,18,11,0,7,0
"ENSP00000298125",3,42,18,11,0,7,0
"ENSP00000298125",4,41,22,14,1,7,0
"ENSP00000298125",5,41,12,9,0,3,0
"ENSP00000298125",6,36,21,15,0,6,0
"ENSP00000298125",7,27,13,7,0,6,0
"ENSP00000298125",8,26,4,1,0,3,0
"ENSP00000298125",9,21,8,4,0,4,0
"ENSP00000298125",10,18,9,4,0,5,0
"ENSP00000298125",11,18,6,5,0,1,0
"ENSP00000298125",12,17,5,3,0,2,0
"ENSP00000298125",13,17,6,4,1,1,0
"ENSP00000298130",1,35,14,8,0,6,0
"ENSP00000298130",2,24,8,4,0,3,1
"ENSP00000298130",3,12,8,4,0,4,0
"ENSP00000298159",1,96,26,18,0,7,1
"ENSP00000298159",2,70,11,7,0,4,0
"ENSP00000298171",1,378,145,91,2,50,2
"ENSP00000298171",2,229,101,68,0,32,1
"ENSP00000298171",3,115,44,25,1,17,1
"ENSP00000298171",4,42,18,14,2,2,0
"ENSP00000298198",1,123,34,23,0,11,0
"ENSP00000298198",2,119,33,18,0,13,2
"ENSP00000298198",3,111,38,28,2,8,0
"ENSP00000298198",4,108,26,17,1,8,0
"ENSP00000298198",5,92,30,16,0,14,0
"ENSP00000298198",6,69,18,10,1,6,1
"ENSP00000298223",1,136,59,45,0,14,0
"ENSP00000298223",2,63,21,12,2,7,0
"ENSP00000298223",3,31,14,11,0,3,0
"ENSP00000298223",4,25,13,7,1,5,0
"ENSP00000298248",1,245,96,59,0,34,3
"ENSP00000298248",2,74,33,26,0,7,0
"ENSP00000298283",1,200,90,58,2,30,0
"ENSP00000298283",2,14,8,6,0,2,0
"ENSP00000298288",1,316,107,75,4,27,1
"ENSP00000298288",2,98,51,31,1,18,1
"ENSP00000298299",1,57,21,14,1,5,1
"ENSP00000298299",2,51,21,19,0,2,0
"ENSP00000298299",3,42,15,13,0,1,1
"ENSP00000298299",4,38,17,10,0,7,0
"ENSP00000298299",5,36,12,8,0,4,0
"ENSP00000298307",1,329,97,63,2,29,3
"ENSP00000298307",2,45,17,13,0,4,0
"ENSP00000298307",3,32,15,11,0,4,0
"ENSP00000298316",1,39,9,2,0,6,1
"ENSP00000298316",2,36,10,1,0,8,1
"ENSP00000298316",3,26,6,1,0,5,0
"ENSP00000298316",4,24,7,1,0,6,0
"ENSP00000298316",5,20,2,0,0,1,1
"ENSP00000298316",6,18,6,3,0,3,0
"ENSP00000298316",7,12,4,1,0,3,0
"ENSP00000298352",1,73,19,14,0,5,0
"ENSP00000298352",2,35,19,14,1,4,0
"ENSP00000298352",3,27,7,3,0,4,0
"ENSP00000298352",4,16,8,6,1,1,0
"ENSP00000298375",1,118,55,37,3,14,1
"ENSP00000298375",2,85,31,20,4,6,1
"ENSP00000298375",3,76,28,24,1,2,1
"ENSP00000298375",4,41,19,15,0,4,0
"ENSP00000298428",1,102,27,14,0,12,1
"ENSP00000298428",2,86,17,10,0,7,0
"ENSP00000298428",3,69,19,11,0,8,0
"ENSP00000298428",4,57,12,8,0,4,0
"ENSP00000298428",5,46,8,3,0,5,0
"ENSP00000298428",6,43,15,9,0,5,1
"ENSP00000298428",7,42,15,8,0,6,1
"ENSP00000298428",8,31,12,6,0,6,0
"ENSP00000298440",1,299,123,83,0,35,5
"ENSP00000298440",2,38,20,15,0,5,0
"ENSP00000298510",1,224,105,71,4,28,2
"ENSP00000298510",2,32,14,12,0,2,0
"ENSP00000298527",1,50,23,18,0,5,0
"ENSP00000298527",2,36,17,13,0,4,0
"ENSP00000298527",3,33,15,8,2,5,0
"ENSP00000298527",4,26,14,12,0,2,0
"ENSP00000298527",5,25,12,7,2,3,0
"ENSP00000298527",6,22,9,6,0,3,0
"ENSP00000298527",7,21,11,9,0,2,0
"ENSP00000298527",8,16,10,7,1,2,0
"ENSP00000298545",1,178,62,35,2,24,1
"ENSP00000298545",2,99,43,27,1,15,0
"ENSP00000298545",3,93,30,21,0,9,0
"ENSP00000298545",4,57,33,25,1,7,0
"ENSP00000298545",5,52,20,9,0,10,1
"ENSP00000298642",1,204,119,95,3,18,3
"ENSP00000298642",2,50,28,21,0,6,1
"ENSP00000298642",3,32,13,7,1,5,0
"ENSP00000298642",4,28,14,9,0,5,0
"ENSP00000298681",1,115,54,39,0,15,0
"ENSP00000298681",2,67,33,19,3,11,0
"ENSP00000298681",3,40,20,14,1,4,1
"ENSP00000298681",4,35,13,9,0,3,1
"ENSP00000298681",5,28,20,14,3,3,0
"ENSP00000298681",6,24,9,6,1,2,0
"ENSP00000298687",1,175,67,46,1,18,2
"ENSP00000298687",2,110,33,20,1,11,1
"ENSP00000298687",3,47,17,10,0,7,0
"ENSP00000298687",4,39,14,11,0,3,0
"ENSP00000298690",1,76,37,24,2,10,1
"ENSP00000298690",2,31,9,7,1,1,0
"ENSP00000298690",3,27,10,5,1,4,0
"ENSP00000298690",4,22,7,5,1,1,0
"ENSP00000298746",1,173,63,34,2,25,2
"ENSP00000298746",2,112,43,29,0,13,1
"ENSP00000298746",3,64,27,18,1,8,0
"ENSP00000298772",1,322,112,74,0,38,0
"ENSP00000298772",2,88,36,21,1,14,0
"ENSP00000298838",1,120,49,35,0,13,1
"ENSP00000298838",2,113,55,33,1,18,3
"ENSP00000298838",3,72,33,18,2,12,1
"ENSP00000298838",4,61,21,12,0,9,0
"ENSP00000298838",5,58,24,20,0,4,0
"ENSP00000298852",1,381,80,25,1,53,1
"ENSP00000298852",2,58,19,10,0,9,0
"ENSP00000298894",1,136,54,33,2,19,0
"ENSP00000298894",2,109,46,27,0,18,1
"ENSP00000298894",3,68,26,16,1,9,0
"ENSP00000298894",4,38,16,10,1,5,0
"ENSP00000298942",1,44,18,13,0,5,0
"ENSP00000298942",2,37,11,7,1,3,0
"ENSP00000298942",3,32,17,13,0,3,1
"ENSP00000298942",4,30,8,6,0,2,0
"ENSP00000298942",5,30,14,10,0,4,0
"ENSP00000298942",6,29,14,12,1,1,0
"ENSP00000298942",7,28,12,9,0,2,1
"ENSP00000298942",8,24,13,9,1,3,0
"ENSP00000298942",9,22,8,6,0,2,0
"ENSP00000298942",10,22,12,8,0,4,0
"ENSP00000298942",11,20,6,5,0,1,0
"ENSP00000298942",12,18,10,6,0,3,1
"ENSP00000298942",13,13,4,4,0,0,0
"ENSP00000298943",1,130,33,13,0,17,3
"ENSP00000298943",2,57,12,7,0,5,0
"ENSP00000298943",3,48,14,7,0,7,0
"ENSP00000298943",4,20,6,2,0,4,0
"ENSP00000299045",1,216,76,59,0,16,1
"ENSP00000299045",2,157,70,41,2,27,0
"ENSP00000299045",3,89,36,26,1,9,0
"ENSP00000299045",4,57,23,17,1,5,0
"ENSP00000299134",1,348,68,34,0,33,1
"ENSP00000299134",2,41,14,10,0,4,0
"ENSP00000299134",3,34,15,11,0,4,0
"ENSP00000299134",4,31,14,7,1,6,0
"ENSP00000299134",5,29,0,0,0,0,0
"ENSP00000299157",1,100,38,22,1,15,0
"ENSP00000299157",2,80,34,20,1,13,0
"ENSP00000299157",3,70,25,17,0,8,0
"ENSP00000299157",4,67,25,16,0,8,1
"ENSP00000299157",5,60,23,15,0,8,0
"ENSP00000299163",1,312,77,47,1,27,2
"ENSP00000299163",2,37,12,8,0,4,0
"ENSP00000299166",1,165,78,57,2,19,0
"ENSP00000299166",2,21,5,4,0,0,1
"ENSP00000299198",1,135,45,19,0,25,1
"ENSP00000299198",2,112,34,19,0,15,0
"ENSP00000299198",3,72,28,14,0,12,2
"ENSP00000299198",4,62,14,6,0,7,1
"ENSP00000299295",1,94,36,25,0,10,1
"ENSP00000299295",2,64,26,18,0,8,0
"ENSP00000299295",3,36,14,9,1,4,0
"ENSP00000299295",4,35,12,10,0,2,0
"ENSP00000299295",5,23,3,2,0,1,0
"ENSP00000299295",6,21,9,7,0,2,0
"ENSP00000299299",1,69,32,21,0,11,0
"ENSP00000299299",2,35,9,5,0,4,0
"ENSP00000299300",1,151,56,38,0,17,1
"ENSP00000299300",2,109,35,24,0,11,0
"ENSP00000299300",3,98,25,12,0,13,0
"ENSP00000299300",4,68,25,16,0,8,1
"ENSP00000299300",5,59,24,20,0,4,0
"ENSP00000299300",6,50,14,10,0,4,0
"ENSP00000299333",1,117,44,26,0,16,2
"ENSP00000299333",2,44,13,9,0,4,0
"ENSP00000299333",3,31,11,8,0,3,0
"ENSP00000299333",4,23,11,8,0,3,0
"ENSP00000299335",1,196,55,35,0,18,2
"ENSP00000299335",2,80,40,21,1,18,0
"ENSP00000299339",1,121,43,31,0,10,2
"ENSP00000299339",2,42,15,9,0,6,0
"ENSP00000299339",3,34,9,7,0,2,0
"ENSP00000299339",4,31,11,9,0,2,0
"ENSP00000299427",1,51,19,15,0,4,0
"ENSP00000299427",2,50,30,17,3,10,0
"ENSP00000299427",3,44,15,8,1,6,0
"ENSP00000299427",4,40,16,13,0,2,1
"ENSP00000299427",5,34,14,9,0,5,0
"ENSP00000299427",6,33,11,7,1,3,0
"ENSP00000299427",7,29,10,6,1,3,0
"ENSP00000299427",8,29,14,7,1,5,1
"ENSP00000299427",9,27,6,5,0,1,0
"ENSP00000299427",10,27,8,7,0,0,1
"ENSP00000299427",11,26,9,6,0,3,0
"ENSP00000299427",12,26,9,8,0,1,0
"ENSP00000299427",13,24,10,6,0,2,2
"ENSP00000299427",14,23,12,6,1,4,1
"ENSP00000299427",15,22,4,1,0,3,0
"ENSP00000299427",16,21,8,5,0,3,0
"ENSP00000299427",17,21,10,8,0,2,0
"ENSP00000299427",18,20,9,5,0,4,0
"ENSP00000299427",19,16,7,6,0,1,0
"ENSP00000299432",1,160,61,40,3,17,1
"ENSP00000299432",2,104,39,26,0,13,0
"ENSP00000299432",3,65,28,17,2,7,2
"ENSP00000299432",4,57,25,15,2,7,1
"ENSP00000299432",5,33,16,8,1,7,0
"ENSP00000299432",6,21,5,4,0,1,0
"ENSP00000299432",7,20,6,2,0,3,1
"ENSP00000299459",1,277,129,87,7,33,2
"ENSP00000299459",2,31,15,10,0,5,0
"ENSP00000299492",1,636,308,206,7,90,5
"ENSP00000299492",2,137,53,38,0,14,1
"ENSP00000299492",3,103,50,38,0,12,0
"ENSP00000299498",1,66,36,23,2,11,0
"ENSP00000299498",2,44,27,17,2,7,1
"ENSP00000299498",3,33,21,15,0,5,1
"ENSP00000299498",4,33,14,11,1,2,0
"ENSP00000299498",5,27,15,9,1,5,0
"ENSP00000299498",6,20,11,7,0,4,0
"ENSP00000299498",7,19,9,3,0,5,1
"ENSP00000299498",8,17,9,6,1,2,0
"ENSP00000299498",9,17,9,5,0,4,0
"ENSP00000299502",1,56,26,19,0,7,0
"ENSP00000299502",2,48,21,13,0,8,0
"ENSP00000299502",3,44,23,13,2,8,0
"ENSP00000299502",4,43,25,17,0,7,1
"ENSP00000299502",5,40,15,9,0,5,1
"ENSP00000299502",6,38,19,13,1,5,0
"ENSP00000299502",7,30,14,9,0,4,1
"ENSP00000299502",8,27,11,4,2,4,1
"ENSP00000299502",9,25,11,8,0,2,1
"ENSP00000299502",10,25,11,8,1,2,0
"ENSP00000299502",11,20,10,9,0,1,0
"ENSP00000299502",12,19,9,7,1,1,0
"ENSP00000299518",1,71,22,13,0,8,1
"ENSP00000299518",2,59,15,4,0,11,0
"ENSP00000299518",3,42,11,5,0,6,0
"ENSP00000299518",4,41,20,12,0,7,1
"ENSP00000299518",5,36,14,7,0,6,1
"ENSP00000299518",6,33,12,4,1,7,0
"ENSP00000299518",7,31,8,2,0,6,0
"ENSP00000299518",8,29,2,2,0,0,0
"ENSP00000299518",9,24,6,2,1,2,1
"ENSP00000299529",1,25,10,5,0,4,1
"ENSP00000299529",2,25,10,4,0,5,1
"ENSP00000299529",3,17,5,2,0,3,0
"ENSP00000299529",4,16,2,2,0,0,0
"ENSP00000299529",5,15,5,4,0,1,0
"ENSP00000299529",6,15,9,5,0,3,1
"ENSP00000299529",7,15,6,4,0,1,1
"ENSP00000299529",8,9,3,1,0,2,0
"ENSP00000299565",1,208,61,43,3,15,0
"ENSP00000299565",2,189,78,47,1,29,1
"ENSP00000299565",3,71,28,20,3,5,0
"ENSP00000299608",1,83,25,14,3,8,0
"ENSP00000299608",2,82,21,14,0,7,0
"ENSP00000299608",3,54,18,11,0,7,0
"ENSP00000299608",4,47,19,14,0,5,0
"ENSP00000299608",5,39,15,8,0,7,0
"ENSP00000299608",6,32,11,8,0,3,0
"ENSP00000299608",7,30,8,5,0,3,0
"ENSP00000299608",8,25,8,4,1,3,0
"ENSP00000299608",9,20,9,7,0,2,0
"ENSP00000299608",10,17,3,3,0,0,0
"ENSP00000299608",11,14,4,1,1,2,0
"ENSP00000299608",12,11,4,3,0,1,0
"ENSP00000299626",1,139,41,26,1,14,0
"ENSP00000299626",2,139,43,29,0,14,0
"ENSP00000299626",3,101,45,23,1,20,1
"ENSP00000299626",4,86,31,22,2,6,1
"ENSP00000299626",5,61,25,13,0,12,0
"ENSP00000299638",1,155,57,42,3,11,1
"ENSP00000299638",2,111,36,30,1,5,0
"ENSP00000299638",3,102,44,33,0,10,1
"ENSP00000299642",1,58,36,28,0,7,1
"ENSP00000299642",2,43,16,10,1,5,0
"ENSP00000299642",3,40,29,20,0,8,1
"ENSP00000299642",4,33,26,20,1,5,0
"ENSP00000299642",5,32,17,10,1,6,0
"ENSP00000299663",1,58,21,13,0,8,0
"ENSP00000299663",2,42,19,11,0,8,0
"ENSP00000299663",3,39,19,10,0,9,0
"ENSP00000299663",4,33,15,12,0,3,0
"ENSP00000299663",5,26,8,6,1,1,0
"ENSP00000299663",6,21,9,5,0,4,0
"ENSP00000299665",1,64,27,18,1,7,1
"ENSP00000299665",2,43,21,15,0,6,0
"ENSP00000299665",3,35,10,6,1,3,0
"ENSP00000299665",4,30,14,10,0,4,0
"ENSP00000299665",5,22,9,8,0,0,1
"ENSP00000299665",6,21,12,10,0,1,1
"ENSP00000299697",1,123,43,26,1,16,0
"ENSP00000299697",2,108,45,34,0,11,0
"ENSP00000299697",3,34,9,7,0,2,0
"ENSP00000299697",4,25,15,6,0,9,0
"ENSP00000299697",5,17,10,6,2,2,0
"ENSP00000299705",1,94,54,35,0,18,1
"ENSP00000299705",2,53,23,8,2,11,2
"ENSP00000299705",3,45,22,12,0,10,0
"ENSP00000299705",4,25,9,4,1,4,0
"ENSP00000299709",1,413,309,198,7,96,8
"ENSP00000299709",2,22,13,8,1,4,0
"ENSP00000299721",1,72,28,20,0,7,1
"ENSP00000299721",2,57,16,15,0,1,0
"ENSP00000299721",3,31,11,8,0,3,0
"ENSP00000299734",1,200,53,31,0,22,0
"ENSP00000299734",2,119,51,29,2,18,2
"ENSP00000299734",3,48,12,8,0,4,0
"ENSP00000299759",1,147,71,52,0,19,0
"ENSP00000299759",2,87,11,8,1,1,1
"ENSP00000299759",3,74,26,16,0,10,0
"ENSP00000299766",1,282,145,94,3,47,1
"ENSP00000299766",2,50,25,19,0,6,0
"ENSP00000299821",1,267,118,72,3,41,2
"ENSP00000299821",2,140,52,29,0,23,0
"ENSP00000299821",3,127,54,30,1,22,1
"ENSP00000299821",4,72,35,20,1,13,1
"ENSP00000299847",1,170,8,2,2,3,1
"ENSP00000299847",2,146,2,0,0,0,2
"ENSP00000299847",3,96,2,0,0,1,1
"ENSP00000299855",1,93,46,29,1,15,1
"ENSP00000299855",2,91,25,15,0,10,0
"ENSP00000299855",3,76,40,28,0,11,1
"ENSP00000299855",4,59,32,21,1,9,1
"ENSP00000299855",5,58,25,17,1,7,0
"ENSP00000299855",6,52,25,15,0,10,0
"ENSP00000299855",7,48,22,13,1,7,1
"ENSP00000299866",1,79,30,20,0,10,0
"ENSP00000299866",2,65,24,17,0,7,0
"ENSP00000299866",3,30,10,7,1,2,0
"ENSP00000299866",4,24,9,8,0,0,1
"ENSP00000299866",5,15,4,3,0,1,0
"ENSP00000299882",1,344,119,77,3,31,8
"ENSP00000299882",2,113,38,20,1,14,3
"ENSP00000299964",1,67,38,29,0,8,1
"ENSP00000299964",2,48,26,20,0,6,0
"ENSP00000299964",3,37,12,9,0,3,0
"ENSP00000299964",4,36,19,12,0,7,0
"ENSP00000299964",5,22,8,3,0,5,0
"ENSP00000299964",6,22,13,9,0,4,0
"ENSP00000299964",7,17,8,7,0,1,0
"ENSP00000299964",8,15,8,5,0,3,0
"ENSP00000300022",1,102,24,13,0,11,0
"ENSP00000300022",2,25,6,3,0,3,0
"ENSP00000300026",1,47,20,13,0,7,0
"ENSP00000300026",2,41,22,12,0,9,1
"ENSP00000300026",3,36,18,12,0,6,0
"ENSP00000300026",4,36,15,7,0,7,1
"ENSP00000300026",5,33,14,10,0,4,0
"ENSP00000300026",6,23,10,6,0,4,0
"ENSP00000300056",1,43,16,10,0,6,0
"ENSP00000300056",2,42,19,12,0,6,1
"ENSP00000300056",3,39,20,13,0,7,0
"ENSP00000300056",4,38,8,6,0,2,0
"ENSP00000300056",5,29,10,8,0,2,0
"ENSP00000300056",6,28,8,5,0,3,0
"ENSP00000300056",7,28,14,12,0,1,1
"ENSP00000300069",1,95,37,20,0,16,1
"ENSP00000300069",2,85,39,23,2,14,0
"ENSP00000300069",3,29,3,3,0,0,0
"ENSP00000300079",1,133,69,47,1,21,0
"ENSP00000300079",2,118,58,37,0,19,2
"ENSP00000300079",3,55,19,13,0,6,0
"ENSP00000300079",4,27,8,7,0,1,0
"ENSP00000300087",1,106,28,14,0,12,2
"ENSP00000300087",2,76,28,18,0,9,1
"ENSP00000300098",1,197,86,61,0,23,2
"ENSP00000300098",2,58,24,15,1,8,0
"ENSP00000300098",3,54,24,17,1,6,0
"ENSP00000300098",4,54,26,16,0,10,0
"ENSP00000300098",5,41,13,10,0,3,0
"ENSP00000300127",1,282,132,82,11,36,3
"ENSP00000300127",2,32,10,6,3,1,0
"ENSP00000300128",1,390,122,81,6,35,0
"ENSP00000300128",2,54,28,14,0,13,1
"ENSP00000300145",1,96,34,22,1,11,0
"ENSP00000300145",2,54,19,9,0,9,1
"ENSP00000300145",3,49,21,14,0,5,2
"ENSP00000300145",4,27,10,6,1,3,0
"ENSP00000300145",5,20,8,4,1,1,2
"ENSP00000300151",1,227,105,76,5,24,0
"ENSP00000300151",2,24,9,6,0,3,0
"ENSP00000300161",1,51,18,10,1,7,0
"ENSP00000300161",2,44,11,4,0,7,0
"ENSP00000300161",3,39,13,8,0,5,0
"ENSP00000300161",4,38,5,4,0,1,0
"ENSP00000300161",5,38,11,6,0,5,0
"ENSP00000300161",6,36,11,6,0,3,2
"ENSP00000300182",1,86,44,25,3,15,1
"ENSP00000300182",2,61,31,16,1,12,2
"ENSP00000300184",1,101,38,29,2,5,2
"ENSP00000300184",2,49,19,14,1,4,0
"ENSP00000300184",3,47,22,14,2,6,0
"ENSP00000300184",4,34,16,9,2,5,0
"ENSP00000300184",5,9,1,1,0,0,0
"ENSP00000300190",1,113,39,27,2,7,3
"ENSP00000300190",2,46,19,11,2,5,1
"ENSP00000300190",3,41,21,11,2,8,0
"ENSP00000300209",1,44,17,8,1,7,1
"ENSP00000300209",2,37,15,9,1,5,0
"ENSP00000300209",3,29,7,2,0,5,0
"ENSP00000300209",4,26,11,5,0,6,0
"ENSP00000300209",5,24,9,8,0,1,0
"ENSP00000300209",6,23,7,2,1,4,0
"ENSP00000300209",7,22,5,4,1,0,0
"ENSP00000300209",8,21,7,7,0,0,0
"ENSP00000300213",1,139,57,34,2,21,0
"ENSP00000300213",2,99,46,33,0,12,1
"ENSP00000300213",3,71,25,15,0,10,0
"ENSP00000300213",4,51,17,12,0,5,0
"ENSP00000300226",1,53,18,10,0,8,0
"ENSP00000300226",2,52,17,9,0,8,0
"ENSP00000300226",3,44,18,12,0,6,0
"ENSP00000300226",4,39,19,11,1,7,0
"ENSP00000300226",5,35,16,13,0,2,1
"ENSP00000300226",6,27,11,6,0,5,0
"ENSP00000300245",1,226,69,43,1,22,3
"ENSP00000300245",2,67,12,7,0,5,0
"ENSP00000300249",1,139,21,5,0,16,0
"ENSP00000300249",2,72,22,12,0,10,0
"ENSP00000300249",3,50,20,10,0,10,0
"ENSP00000300249",4,43,6,0,0,6,0
"ENSP00000300249",5,23,7,5,0,1,1
"ENSP00000300283",1,112,0,0,0,0,0
"ENSP00000300283",2,65,10,8,0,2,0
"ENSP00000300283",3,50,0,0,0,0,0
"ENSP00000300283",4,42,12,5,1,5,1
"ENSP00000300283",5,42,0,0,0,0,0
"ENSP00000300283",6,39,6,5,0,0,1
"ENSP00000300283",7,36,1,0,0,1,0
"ENSP00000300283",8,31,14,6,0,6,2
"ENSP00000300291",1,195,31,4,0,26,1
