"ENSG","cluster_membership","cluster_size","n.mut"
"ENSG00000005075",1,109,18
"ENSG00000005075",2,18,11
"ENSG00000005187",1,129,85
"ENSG00000005187",2,92,47
"ENSG00000005187",3,73,48
"ENSG00000005187",4,58,29
"ENSG00000005187",5,58,16
"ENSG00000005187",6,56,37
"ENSG00000005187",7,49,23
"ENSG00000005187",8,40,19
"ENSG00000005187",9,31,24
"ENSG00000005194",1,263,124
"ENSG00000005194",2,49,24
"ENSG00000005243",1,55,25
"ENSG00000005243",2,38,22
"ENSG00000005243",3,30,21
"ENSG00000005243",4,26,8
"ENSG00000005243",5,22,22
"ENSG00000005243",6,21,3
"ENSG00000005243",7,16,0
"ENSG00000005249",1,97,29
"ENSG00000005249",2,79,28
"ENSG00000005249",3,63,34
"ENSG00000005249",4,39,6
"ENSG00000005249",5,33,11
"ENSG00000005249",6,31,11
"ENSG00000005249",7,31,5
"ENSG00000005249",8,30,9
"ENSG00000005249",9,15,3
"ENSG00000005421",1,305,143
"ENSG00000005421",2,50,42
"ENSG00000005448",1,197,140
"ENSG00000005448",2,65,30
"ENSG00000005448",3,50,36
"ENSG00000005448",4,22,20
"ENSG00000005469",1,94,39
"ENSG00000005469",2,86,60
"ENSG00000005469",3,80,50
"ENSG00000005469",4,65,40
"ENSG00000005469",5,56,57
"ENSG00000005469",6,54,34
"ENSG00000005469",7,50,29
"ENSG00000005469",8,49,37
"ENSG00000005469",9,37,28
"ENSG00000005469",10,36,20
"ENSG00000005469",11,33,21
"ENSG00000005513",1,156,68
"ENSG00000005513",2,126,149
"ENSG00000005513",3,57,53
"ENSG00000005513",4,54,43
"ENSG00000005513",5,53,15
"ENSG00000005812",1,391,115
"ENSG00000005812",2,37,14
"ENSG00000005882",1,60,27
"ENSG00000005882",2,55,32
"ENSG00000005882",3,50,19
"ENSG00000005882",4,49,21
"ENSG00000005882",5,47,30
"ENSG00000005882",6,46,26
"ENSG00000005882",7,34,9
"ENSG00000005882",8,28,12
"ENSG00000005882",9,22,23
"ENSG00000005882",10,16,6
"ENSG00000005981",1,280,196
"ENSG00000005981",2,122,73
"ENSG00000005981",3,24,25
"ENSG00000006007",1,269,129
"ENSG00000006007",2,62,47
"ENSG00000006015",1,74,16
"ENSG00000006015",2,58,19
"ENSG00000006015",3,50,27
"ENSG00000006015",4,19,5
"ENSG00000006016",1,116,82
"ENSG00000006016",2,102,85
"ENSG00000006016",3,62,27
"ENSG00000006016",4,53,44
"ENSG00000006016",5,49,36
"ENSG00000006016",6,40,2
"ENSG00000006042",1,121,70
"ENSG00000006042",2,81,37
"ENSG00000006042",3,24,8
"ENSG00000006059",1,136,121
"ENSG00000006059",2,126,81
"ENSG00000006059",3,55,54
"ENSG00000006059",4,52,46
"ENSG00000006059",5,35,37
"ENSG00000006074",1,34,31
"ENSG00000006074",2,29,13
"ENSG00000006074",3,26,18
"ENSG00000006075",1,28,18
"ENSG00000006075",2,25,8
"ENSG00000006075",3,20,18
"ENSG00000006075",4,19,6
"ENSG00000006116",1,63,35
"ENSG00000006116",2,63,32
"ENSG00000006116",3,56,25
"ENSG00000006116",4,51,19
"ENSG00000006116",5,40,20
"ENSG00000006116",6,22,20
"ENSG00000006116",7,20,11
"ENSG00000006377",1,143,60
"ENSG00000006377",2,71,28
"ENSG00000006377",3,49,27
"ENSG00000006377",4,30,37
"ENSG00000006451",1,43,9
"ENSG00000006451",2,38,8
"ENSG00000006451",3,37,6
"ENSG00000006451",4,26,3
"ENSG00000006451",5,24,8
"ENSG00000006451",6,23,5
"ENSG00000006451",7,15,2
"ENSG00000006468",1,168,107
"ENSG00000006468",2,151,72
"ENSG00000006468",3,96,62
"ENSG00000006468",4,76,45
"ENSG00000006530",1,80,52
"ENSG00000006530",2,62,42
"ENSG00000006530",3,59,31
"ENSG00000006530",4,57,41
"ENSG00000006530",5,41,21
"ENSG00000006530",6,33,11
"ENSG00000006530",7,33,8
"ENSG00000006530",8,30,15
"ENSG00000006530",9,27,17
"ENSG00000006534",1,116,76
"ENSG00000006534",2,97,55
"ENSG00000006534",3,62,62
"ENSG00000006534",4,61,31
"ENSG00000006534",5,55,42
"ENSG00000006534",6,49,40
"ENSG00000006534",7,25,15
"ENSG00000006576",1,569,200
"ENSG00000006576",2,216,84
"ENSG00000006606",1,38,18
"ENSG00000006606",2,34,28
"ENSG00000006606",3,22,7
"ENSG00000006625",1,34,6
"ENSG00000006625",2,31,13
"ENSG00000006625",3,29,20
"ENSG00000006625",4,23,14
"ENSG00000006625",5,22,12
"ENSG00000006625",6,19,13
"ENSG00000006625",7,18,19
"ENSG00000006625",8,12,3
"ENSG00000006638",1,142,72
"ENSG00000006638",2,74,77
"ENSG00000006638",3,48,14
"ENSG00000006638",4,46,26
"ENSG00000006638",5,45,27
"ENSG00000006638",6,26,14
"ENSG00000006638",7,26,5
"ENSG00000006652",1,242,99
"ENSG00000006652",2,133,59
"ENSG00000006652",3,76,34
"ENSG00000006659",1,46,30
"ENSG00000006659",2,38,22
"ENSG00000006659",3,31,21
"ENSG00000006659",4,21,15
"ENSG00000006659",5,16,12
"ENSG00000006659",6,16,8
"ENSG00000006695",1,306,230
"ENSG00000006695",2,137,88
"ENSG00000006744",1,81,76
"ENSG00000006744",2,74,65
"ENSG00000006744",3,55,41
"ENSG00000006744",4,54,22
"ENSG00000006744",5,50,49
"ENSG00000006744",6,46,18
"ENSG00000006744",7,46,25
"ENSG00000006744",8,46,33
"ENSG00000006744",9,44,29
"ENSG00000006744",10,44,21
"ENSG00000006744",11,43,38
"ENSG00000006744",12,43,19
"ENSG00000006744",13,40,25
"ENSG00000006744",14,39,37
"ENSG00000006744",15,32,17
"ENSG00000006744",16,32,27
"ENSG00000006744",17,31,20
"ENSG00000006744",18,26,11
"ENSG00000006747",1,143,136
"ENSG00000006747",2,132,67
"ENSG00000006747",3,110,33
"ENSG00000006747",4,109,66
"ENSG00000006747",5,86,51
"ENSG00000006747",6,77,28
"ENSG00000006747",7,58,23
"ENSG00000006831",1,305,99
"ENSG00000006831",2,81,38
"ENSG00000007001",1,298,170
"ENSG00000007001",2,76,25
"ENSG00000007038",1,215,216
"ENSG00000007038",2,60,22
"ENSG00000007038",3,39,17
"ENSG00000007062",1,202,114
"ENSG00000007062",2,178,109
"ENSG00000007062",3,141,90
"ENSG00000007062",4,110,76
"ENSG00000007062",5,108,51
"ENSG00000007062",6,63,35
"ENSG00000007062",7,38,17
"ENSG00000007062",8,25,12
"ENSG00000007080",1,144,66
"ENSG00000007080",2,79,56
"ENSG00000007129",1,61,44
"ENSG00000007129",2,55,51
"ENSG00000007129",3,48,31
"ENSG00000007129",4,45,31
"ENSG00000007129",5,40,31
"ENSG00000007129",6,28,19
"ENSG00000007129",7,16,13
"ENSG00000007168",1,298,79
"ENSG00000007168",2,112,34
"ENSG00000007255",1,53,34
"ENSG00000007255",2,47,32
"ENSG00000007255",3,43,33
"ENSG00000007255",4,30,30
"ENSG00000007306",1,48,30
"ENSG00000007306",2,46,33
"ENSG00000007306",3,43,46
"ENSG00000007306",4,36,32
"ENSG00000007306",5,27,21
"ENSG00000007306",6,26,41
"ENSG00000007306",7,22,14
"ENSG00000007306",8,17,15
"ENSG00000007312",1,57,24
"ENSG00000007312",2,47,28
"ENSG00000007312",3,40,16
"ENSG00000007312",4,33,14
"ENSG00000007312",5,29,28
"ENSG00000007312",6,24,8
"ENSG00000007372",1,149,73
"ENSG00000007372",2,99,21
"ENSG00000007372",3,97,26
"ENSG00000007372",4,52,11
"ENSG00000007372",5,39,18
"ENSG00000007376",1,272,348
"ENSG00000007376",2,40,28
"ENSG00000007866",1,121,49
"ENSG00000007866",2,81,46
"ENSG00000007866",3,76,53
"ENSG00000007866",4,46,8
"ENSG00000007866",5,43,17
"ENSG00000007866",6,39,11
"ENSG00000007866",7,29,12
"ENSG00000007908",1,145,104
"ENSG00000007908",2,112,64
"ENSG00000007908",3,108,50
"ENSG00000007908",4,107,66
"ENSG00000007908",5,82,50
"ENSG00000007908",6,56,33
"ENSG00000007923",1,334,188
"ENSG00000007923",2,159,76
"ENSG00000007923",3,40,30
"ENSG00000007923",4,26,8
"ENSG00000007968",1,123,65
"ENSG00000007968",2,81,41
"ENSG00000007968",3,81,60
"ENSG00000007968",4,64,49
"ENSG00000007968",5,56,30
"ENSG00000007968",6,32,24
"ENSG00000008018",1,111,44
"ENSG00000008018",2,95,45
"ENSG00000008018",3,35,27
"ENSG00000008196",1,127,61
"ENSG00000008196",2,87,55
"ENSG00000008196",3,83,50
"ENSG00000008196",4,81,47
"ENSG00000008196",5,55,17
"ENSG00000008196",6,36,7
"ENSG00000008197",1,239,145
"ENSG00000008197",2,213,119
"ENSG00000008256",1,105,40
"ENSG00000008256",2,80,40
"ENSG00000008256",3,63,29
"ENSG00000008256",4,61,59
"ENSG00000008256",5,52,21
"ENSG00000008256",6,38,19
"ENSG00000008282",1,79,38
"ENSG00000008282",2,48,30
"ENSG00000008282",3,42,18
"ENSG00000008282",4,33,19
"ENSG00000008282",5,32,9
"ENSG00000008282",6,25,16
"ENSG00000008283",1,245,191
"ENSG00000008283",2,73,30
"ENSG00000008394",1,125,81
"ENSG00000008394",2,30,19
"ENSG00000008438",1,39,22
"ENSG00000008438",2,39,21
"ENSG00000008438",3,37,21
"ENSG00000008438",4,35,24
"ENSG00000008438",5,24,14
"ENSG00000008438",6,22,22
"ENSG00000008513",1,98,69
"ENSG00000008513",2,95,53
"ENSG00000008513",3,91,58
"ENSG00000008513",4,56,28
"ENSG00000008952",1,126,32
"ENSG00000008952",2,98,57
"ENSG00000008952",3,74,26
"ENSG00000008952",4,65,14
"ENSG00000008952",5,36,14
"ENSG00000008988",1,66,22
"ENSG00000008988",2,29,8
"ENSG00000008988",3,19,5
"ENSG00000008988",4,18,3
"ENSG00000008988",5,10,12
"ENSG00000009765",1,217,131
"ENSG00000009765",2,76,50
"ENSG00000009844",1,174,136
"ENSG00000009844",2,133,64
"ENSG00000010030",1,81,73
"ENSG00000010030",2,44,36
"ENSG00000010030",3,40,26
"ENSG00000010030",4,36,20
"ENSG00000010030",5,27,16
"ENSG00000010030",6,26,18
"ENSG00000010030",7,24,15
"ENSG00000010030",8,22,16
"ENSG00000010030",9,21,11
"ENSG00000010030",10,20,20
"ENSG00000010256",1,96,70
"ENSG00000010256",2,91,45
"ENSG00000010256",3,80,47
"ENSG00000010256",4,53,34
"ENSG00000010256",5,50,44
"ENSG00000010256",6,46,29
"ENSG00000010256",7,45,35
"ENSG00000010256",8,19,17
"ENSG00000010270",1,69,36
"ENSG00000010270",2,47,29
"ENSG00000010270",3,32,11
"ENSG00000010270",4,21,8
"ENSG00000010270",5,20,2
"ENSG00000010270",6,17,12
"ENSG00000010270",7,16,11
"ENSG00000010270",8,12,9
"ENSG00000010278",1,140,57
"ENSG00000010278",2,30,24
"ENSG00000010278",3,25,11
"ENSG00000010278",4,18,15
"ENSG00000010278",5,15,26
"ENSG00000010282",1,168,106
"ENSG00000010282",2,109,60
"ENSG00000010282",3,105,66
"ENSG00000010282",4,63,49
"ENSG00000010282",5,59,60
"ENSG00000010310",1,88,84
"ENSG00000010310",2,83,69
"ENSG00000010310",3,83,53
"ENSG00000010310",4,68,51
"ENSG00000010310",5,58,36
"ENSG00000010310",6,52,33
"ENSG00000010310",7,34,11
"ENSG00000010318",1,283,135
"ENSG00000010318",2,98,46
"ENSG00000010361",1,180,104
"ENSG00000010361",2,51,44
"ENSG00000010361",3,45,17
"ENSG00000010361",4,45,37
"ENSG00000010361",5,38,8
"ENSG00000010361",6,31,20
"ENSG00000010361",7,28,14
"ENSG00000010438",1,77,7
"ENSG00000010438",2,67,44
"ENSG00000010438",3,50,20
"ENSG00000010438",4,34,17
"ENSG00000010438",5,30,23
"ENSG00000010438",6,26,17
"ENSG00000010438",7,20,9
"ENSG00000010610",1,125,55
"ENSG00000010610",2,85,32
"ENSG00000010610",3,82,59
"ENSG00000010610",4,69,55
"ENSG00000010610",5,57,48
"ENSG00000010610",6,40,35
"ENSG00000010626",1,42,26
"ENSG00000010626",2,35,18
"ENSG00000010626",3,35,18
"ENSG00000010626",4,30,12
"ENSG00000010626",5,30,25
"ENSG00000010626",6,29,21
"ENSG00000010626",7,28,17
"ENSG00000010626",8,24,13
"ENSG00000010626",9,23,11
"ENSG00000010626",10,23,14
"ENSG00000010626",11,22,15
"ENSG00000010626",12,22,21
"ENSG00000010704",1,101,37
"ENSG00000010704",2,89,41
"ENSG00000010704",3,61,39
"ENSG00000010704",4,45,29
"ENSG00000010704",5,26,26
"ENSG00000010704",6,26,19
"ENSG00000010932",1,51,30
"ENSG00000010932",2,36,19
"ENSG00000010932",3,33,14
"ENSG00000010932",4,31,22
"ENSG00000010932",5,31,32
"ENSG00000010932",6,29,12
"ENSG00000010932",7,28,20
"ENSG00000010932",8,27,17
"ENSG00000010932",9,27,15
"ENSG00000010932",10,26,10
"ENSG00000010932",11,26,14
"ENSG00000010932",12,26,24
"ENSG00000010932",13,26,8
"ENSG00000010932",14,25,10
"ENSG00000010932",15,23,7
"ENSG00000010932",16,23,6
"ENSG00000010932",17,23,20
"ENSG00000010932",18,22,13
"ENSG00000010932",19,19,4
"ENSG00000011009",1,161,75
"ENSG00000011009",2,70,26
"ENSG00000011052",1,114,53
"ENSG00000011052",2,84,45
"ENSG00000011052",3,38,20
"ENSG00000011052",4,30,21
"ENSG00000011052",5,26,14
"ENSG00000011105",1,223,101
"ENSG00000011105",2,48,26
"ENSG00000011198",1,277,165
"ENSG00000011198",2,72,52
"ENSG00000011304",1,234,195
"ENSG00000011304",2,139,101
"ENSG00000011304",3,103,73
"ENSG00000011304",4,81,103
"ENSG00000011332",1,53,21
"ENSG00000011332",2,44,27
"ENSG00000011332",3,36,13
"ENSG00000011332",4,27,17
"ENSG00000011332",5,27,7
"ENSG00000011332",6,25,11
"ENSG00000011332",7,21,1
"ENSG00000011332",8,20,8
"ENSG00000011332",9,19,4
"ENSG00000011332",10,19,10
"ENSG00000011332",11,18,14
"ENSG00000011332",12,18,15
"ENSG00000011332",13,17,18
"ENSG00000011332",14,16,8
"ENSG00000011332",15,15,1
"ENSG00000011332",16,15,5
"ENSG00000011332",17,14,3
"ENSG00000011332",18,10,4
"ENSG00000011422",1,116,71
"ENSG00000011422",2,86,69
"ENSG00000011422",3,84,59
"ENSG00000011422",4,49,29
"ENSG00000011465",1,92,39
"ENSG00000011465",2,80,55
"ENSG00000011465",3,76,32
"ENSG00000011465",4,72,35
"ENSG00000011465",5,39,24
"ENSG00000011478",1,87,70
"ENSG00000011478",2,75,52
"ENSG00000011478",3,71,35
"ENSG00000011478",4,67,68
"ENSG00000011478",5,45,25
"ENSG00000011478",6,37,18
"ENSG00000012124",1,106,59
"ENSG00000012124",2,101,77
"ENSG00000012124",3,97,76
"ENSG00000012124",4,93,49
"ENSG00000012124",5,90,60
"ENSG00000012124",6,70,37
"ENSG00000012124",7,54,32
"ENSG00000012124",8,54,39
"ENSG00000012124",9,52,45
"ENSG00000012124",10,46,24
"ENSG00000012124",11,46,17
"ENSG00000012124",12,38,24
"ENSG00000012223",1,67,34
"ENSG00000012223",2,63,40
"ENSG00000012223",3,59,54
"ENSG00000012223",4,56,43
"ENSG00000012223",5,54,38
"ENSG00000012223",6,54,27
"ENSG00000012223",7,53,40
"ENSG00000012223",8,49,40
"ENSG00000012223",9,47,41
"ENSG00000012223",10,47,31
"ENSG00000012223",11,42,30
"ENSG00000012223",12,36,33
"ENSG00000012223",13,33,53
"ENSG00000012223",14,31,31
"ENSG00000012223",15,19,7
"ENSG00000012504",1,137,56
"ENSG00000012504",2,132,77
"ENSG00000012504",3,114,47
"ENSG00000012504",4,103,32
"ENSG00000012660",1,49,12
"ENSG00000012660",2,39,21
"ENSG00000012660",3,36,14
"ENSG00000012660",4,32,17
"ENSG00000012660",5,32,13
"ENSG00000012660",6,31,4
"ENSG00000012660",7,31,15
"ENSG00000012660",8,21,13
"ENSG00000012660",9,17,4
"ENSG00000012660",10,15,3
"ENSG00000012660",11,12,13
"ENSG00000012660",12,11,4
"ENSG00000012963",1,73,14
"ENSG00000012963",2,70,15
"ENSG00000012963",3,51,34
"ENSG00000012963",4,47,24
"ENSG00000012963",5,45,13
"ENSG00000012963",6,43,14
"ENSG00000012963",7,36,10
"ENSG00000012963",8,32,10
"ENSG00000012963",9,28,10
"ENSG00000013016",1,157,82
"ENSG00000013016",2,118,82
"ENSG00000013016",3,97,50
"ENSG00000013016",4,96,66
"ENSG00000013016",5,67,46
"ENSG00000013297",1,109,74
"ENSG00000013297",2,41,3
"ENSG00000013297",3,29,19
"ENSG00000013297",4,28,2
"ENSG00000013306",1,301,253
"ENSG00000013306",2,58,48
"ENSG00000013364",1,308,169
"ENSG00000013364",2,212,159
"ENSG00000013364",3,108,75
"ENSG00000013364",4,95,53
"ENSG00000013364",5,88,68
"ENSG00000013364",6,82,46
"ENSG00000013374",1,142,72
"ENSG00000013374",2,99,56
"ENSG00000013374",3,87,60
"ENSG00000013374",4,76,24
"ENSG00000013374",5,67,26
"ENSG00000013374",6,51,13
"ENSG00000013374",7,41,17
"ENSG00000013374",8,41,8
"ENSG00000013374",9,35,8
"ENSG00000013392",1,161,61
"ENSG00000013392",2,85,39
"ENSG00000013392",3,46,15
"ENSG00000013561",1,87,28
"ENSG00000013561",2,86,36
"ENSG00000013561",3,74,33
"ENSG00000013561",4,53,22
"ENSG00000013561",5,41,16
"ENSG00000013561",6,37,10
"ENSG00000013561",7,34,11
"ENSG00000013561",8,33,17
"ENSG00000013561",9,29,17
"ENSG00000013573",1,863,311
"ENSG00000013573",2,107,79
"ENSG00000013583",1,58,51
"ENSG00000013583",2,39,36
"ENSG00000013583",3,36,24
"ENSG00000013583",4,22,17
"ENSG00000013583",5,22,9
"ENSG00000013583",6,12,9
"ENSG00000013588",1,290,236
"ENSG00000013588",2,67,48
"ENSG00000014216",1,76,48
"ENSG00000014216",2,76,38
"ENSG00000014216",3,73,63
"ENSG00000014216",4,62,35
"ENSG00000014216",5,60,30
"ENSG00000014216",6,52,51
"ENSG00000014216",7,49,26
"ENSG00000014216",8,42,27
"ENSG00000014216",9,42,36
"ENSG00000014216",10,41,23
"ENSG00000014216",11,37,11
"ENSG00000014216",12,36,13
"ENSG00000014216",13,34,22
"ENSG00000014216",14,34,10
"ENSG00000014257",1,210,137
"ENSG00000014257",2,61,41
"ENSG00000014257",3,58,32
"ENSG00000014257",4,56,31
"ENSG00000014257",5,33,16
"ENSG00000014641",1,168,61
"ENSG00000014641",2,112,52
"ENSG00000014641",3,72,24
"ENSG00000014824",1,451,174
"ENSG00000014824",2,117,71
"ENSG00000014919",1,116,60
"ENSG00000014919",2,71,40
"ENSG00000014919",3,65,37
"ENSG00000014919",4,63,45
"ENSG00000014919",5,58,32
"ENSG00000014919",6,37,23
"ENSG00000015413",1,96,110
"ENSG00000015413",2,86,86
"ENSG00000015413",3,65,88
"ENSG00000015413",4,62,66
"ENSG00000015413",5,44,51
"ENSG00000015413",6,35,47
"ENSG00000015413",7,23,17
"ENSG00000015676",1,123,70
"ENSG00000015676",2,92,49
"ENSG00000015676",3,85,50
"ENSG00000015676",4,61,32
"ENSG00000016082",1,77,29
"ENSG00000016082",2,74,52
"ENSG00000016082",3,60,18
"ENSG00000016082",4,52,34
"ENSG00000016082",5,49,11
"ENSG00000016082",6,22,19
"ENSG00000016082",7,15,9
"ENSG00000016391",1,137,89
"ENSG00000016391",2,104,78
"ENSG00000016391",3,62,41
"ENSG00000016391",4,57,38
"ENSG00000016391",5,52,10
"ENSG00000016391",6,49,33
"ENSG00000016391",7,44,23
"ENSG00000016391",8,37,28
"ENSG00000016391",9,28,16
"ENSG00000016391",10,24,5
"ENSG00000016402",1,149,77
"ENSG00000016402",2,116,53
"ENSG00000016402",3,99,36
"ENSG00000016402",4,87,55
"ENSG00000016402",5,67,53
"ENSG00000016402",6,35,1
"ENSG00000016864",1,103,55
"ENSG00000016864",2,79,45
"ENSG00000016864",3,63,26
"ENSG00000016864",4,53,23
"ENSG00000016864",5,46,16
"ENSG00000016864",6,27,13
"ENSG00000017260",1,166,48
"ENSG00000017260",2,154,42
"ENSG00000017260",3,96,29
"ENSG00000017260",4,92,33
"ENSG00000017260",5,83,21
"ENSG00000017260",6,82,18
"ENSG00000017260",7,70,24
"ENSG00000017260",8,61,20
"ENSG00000017260",9,55,8
"ENSG00000017260",10,47,31
"ENSG00000017260",11,37,11
"ENSG00000017260",12,30,9
"ENSG00000019102",1,54,44
"ENSG00000019102",2,50,36
"ENSG00000019102",3,48,19
"ENSG00000019102",4,43,27
"ENSG00000019102",5,42,51
"ENSG00000019102",6,34,24
"ENSG00000019102",7,33,26
"ENSG00000019102",8,23,11
"ENSG00000019186",1,394,312
"ENSG00000019186",2,65,41
"ENSG00000019186",3,55,49
"ENSG00000019549",1,195,73
"ENSG00000019549",2,73,29
"ENSG00000020426",1,124,63
"ENSG00000020426",2,104,59
"ENSG00000020426",3,81,26
"ENSG00000020922",1,542,331
"ENSG00000020922",2,169,92
"ENSG00000021355",1,79,37
"ENSG00000021355",2,61,40
"ENSG00000021355",3,48,30
"ENSG00000021355",4,41,19
"ENSG00000021355",5,40,22
"ENSG00000021355",6,39,24
"ENSG00000021355",7,26,21
"ENSG00000021355",8,25,13
"ENSG00000021355",9,20,10
"ENSG00000021461",1,383,262
"ENSG00000021461",2,64,31
"ENSG00000021461",3,57,24
"ENSG00000021488",1,457,336
"ENSG00000021488",2,30,17
"ENSG00000022277",1,88,35
"ENSG00000022277",2,61,33
"ENSG00000022277",3,50,31
"ENSG00000022277",4,43,23
"ENSG00000022277",5,39,24
"ENSG00000022277",6,36,10
"ENSG00000022277",7,19,1
"ENSG00000022355",1,134,23
"ENSG00000022355",2,111,30
"ENSG00000022355",3,98,51
"ENSG00000022355",4,70,25
"ENSG00000022355",5,43,20
"ENSG00000022840",1,260,143
"ENSG00000022840",2,162,98
"ENSG00000022840",3,147,65
"ENSG00000022840",4,89,76
"ENSG00000022840",5,83,51
"ENSG00000022840",6,75,44
"ENSG00000023041",1,135,67
"ENSG00000023041",2,75,42
"ENSG00000023041",3,66,29
"ENSG00000023041",4,57,24
"ENSG00000023041",5,47,16
"ENSG00000023041",6,33,23
"ENSG00000023191",1,291,225
"ENSG00000023191",2,99,71
"ENSG00000023191",3,71,60
"ENSG00000023228",1,106,46
"ENSG00000023228",2,82,52
"ENSG00000023228",3,74,51
"ENSG00000023228",4,66,34
"ENSG00000023228",5,62,33
"ENSG00000023228",6,58,21
"ENSG00000023228",7,55,20
"ENSG00000023228",8,51,31
"ENSG00000023228",9,47,31
"ENSG00000023228",10,40,37
"ENSG00000023228",11,36,30
"ENSG00000023228",12,33,18
"ENSG00000023228",13,31,16
"ENSG00000023318",1,58,17
"ENSG00000023318",2,54,9
"ENSG00000023318",3,52,15
"ENSG00000023318",4,44,26
"ENSG00000023318",5,43,20
"ENSG00000023318",6,39,9
"ENSG00000023318",7,37,17
"ENSG00000023318",8,31,16
"ENSG00000023318",9,28,20
"ENSG00000023318",10,20,9
"ENSG00000023572",1,72,46
"ENSG00000023572",2,50,29
"ENSG00000023572",3,25,9
"ENSG00000023572",4,18,6
"ENSG00000023697",1,74,38
"ENSG00000023697",2,64,40
"ENSG00000023697",3,63,38
"ENSG00000023697",4,56,30
"ENSG00000023697",5,36,23
"ENSG00000023697",6,25,13
"ENSG00000023734",1,251,71
"ENSG00000023734",2,65,21
"ENSG00000023734",3,47,19
"ENSG00000023892",1,197,46
"ENSG00000023892",2,192,84
"ENSG00000023892",3,67,21
"ENSG00000023892",4,67,40
"ENSG00000023892",5,60,24
"ENSG00000023892",6,48,12
"ENSG00000023909",1,49,22
"ENSG00000023909",2,46,13
"ENSG00000023909",3,41,13
"ENSG00000023909",4,40,15
"ENSG00000023909",5,39,3
"ENSG00000023909",6,32,16
"ENSG00000023909",7,27,11
"ENSG00000024422",1,151,96
"ENSG00000024422",2,128,109
"ENSG00000024422",3,97,42
"ENSG00000024422",4,82,58
"ENSG00000024422",5,67,42
"ENSG00000024422",6,18,25
"ENSG00000025039",1,91,10
"ENSG00000025039",2,82,24
"ENSG00000025039",3,73,24
"ENSG00000025039",4,70,24
"ENSG00000025039",5,56,24
"ENSG00000025039",6,28,14
"ENSG00000025423",1,71,36
"ENSG00000025423",2,51,35
"ENSG00000025423",3,47,32
"ENSG00000025423",4,33,15
"ENSG00000025423",5,31,14
"ENSG00000025423",6,30,24
"ENSG00000025423",7,28,12
"ENSG00000025423",8,26,18
"ENSG00000025434",1,303,175
"ENSG00000025434",2,114,65
"ENSG00000025434",3,49,22
"ENSG00000025708",1,120,54
"ENSG00000025708",2,97,83
"ENSG00000025708",3,84,24
"ENSG00000025708",4,70,27
"ENSG00000025708",5,53,17
"ENSG00000025708",6,24,20
"ENSG00000025708",7,21,34
"ENSG00000025708",8,18,6
"ENSG00000025770",1,267,209
"ENSG00000025770",2,140,73
"ENSG00000025770",3,127,74
"ENSG00000025770",4,72,54
"ENSG00000025772",1,60,39
"ENSG00000025772",2,48,13
"ENSG00000025772",3,43,13
"ENSG00000025772",4,35,12
"ENSG00000025772",5,32,11
"ENSG00000025772",6,28,13
"ENSG00000025772",7,23,6
"ENSG00000025772",8,20,10
"ENSG00000025772",9,11,6
"ENSG00000025772",10,9,5
"ENSG00000026025",1,150,89
"ENSG00000026025",2,127,58
"ENSG00000026025",3,90,48
"ENSG00000026025",4,57,14
"ENSG00000026025",5,42,25
"ENSG00000026103",1,170,76
"ENSG00000026103",2,121,48
"ENSG00000026103",3,44,27
"ENSG00000026297",1,87,57
"ENSG00000026297",2,56,41
"ENSG00000026297",3,33,13
"ENSG00000026297",4,29,7
"ENSG00000026297",5,28,27
"ENSG00000026297",6,23,13
"ENSG00000026559",1,138,49
"ENSG00000026559",2,129,53
"ENSG00000026559",3,77,35
"ENSG00000026559",4,74,37
"ENSG00000026559",5,66,28
"ENSG00000157765",4,63,42
"ENSG00000157778",1,58,36
"ENSG00000157778",2,45,34
"ENSG00000157778",3,19,13
"ENSG00000157800",1,116,60
"ENSG00000157800",2,103,54
"ENSG00000157800",3,96,58
"ENSG00000157800",4,62,33
"ENSG00000157800",5,38,17
"ENSG00000157800",6,37,13
"ENSG00000157800",7,23,10
"ENSG00000157800",8,19,8
"ENSG00000157823",1,164,86
"ENSG00000157823",2,41,32
"ENSG00000157837",1,174,46
"ENSG00000157837",2,91,27
"ENSG00000157837",3,65,24
"ENSG00000157837",4,54,19
"ENSG00000157869",1,184,91
"ENSG00000157869",2,37,22
"ENSG00000157870",1,135,72
"ENSG00000157870",2,38,9
"ENSG00000157870",3,38,30
"ENSG00000157870",4,20,11
"ENSG00000157873",1,33,7
"ENSG00000157873",2,29,17
"ENSG00000157873",3,27,23
"ENSG00000157873",4,15,14
"ENSG00000157873",5,15,9
"ENSG00000157873",6,15,9
"ENSG00000157873",7,14,8
"ENSG00000157873",8,14,21
"ENSG00000157873",9,14,10
"ENSG00000157873",10,14,11
"ENSG00000157873",11,13,15
"ENSG00000157873",12,13,11
"ENSG00000157873",13,12,7
"ENSG00000157873",14,12,6
"ENSG00000157873",15,11,12
"ENSG00000157873",16,11,11
"ENSG00000157873",17,11,7
"ENSG00000157873",18,10,5
"ENSG00000157884",1,42,17
"ENSG00000157884",2,42,40
"ENSG00000157884",3,41,34
"ENSG00000157884",4,34,27
"ENSG00000157884",5,26,6
"ENSG00000157911",1,113,63
"ENSG00000157911",2,97,93
"ENSG00000157911",3,64,70
"ENSG00000157911",4,48,41
"ENSG00000157911",5,24,19
"ENSG00000157916",1,89,46
"ENSG00000157916",2,60,28
"ENSG00000157916",3,36,18
"ENSG00000157916",4,11,6
"ENSG00000157954",1,319,212
